NC Object Id,Promo name,Billing Offer Id,Status,OPTIK TV Tax Included Offer,Promo Categories,,,
9164930482568891015,$5 Off Optik TV for 24 Months,40760821,Active,Y,Value Based Stackability Discounts,,,
9164775776563693271,$5 Off TOS Complete for 12 Months,41127281,Active,N,Discounts,,,
9164783275123235045,$5 Off TOS Complete for 12 Months,41127281,Active,N,Discounts,,,
9164775845837693278,$5 Off TOS Complete for 24 Months,41127311,Active,N,Discounts,,,
9164783314256855337,$5 Off TOS Complete for 24 Months,41127311,Active,N,Discounts,,,
9164362304922967455,$50 Internet (One Time Credit),41079701,Active,N,[NULL],,,
9164362361837181068,$50 Internet (One Time Credit),41079701,Active,N,Discounts,,,
9163581772599231197,$50 Off Home Phone (One-Time Credit),40641251,Active,N,Discounts,,,
9163590958994744531,$50 Off Home Phone (One-Time Credit),40641251,Active,N,Discounts,,,
9162752730656155379,$50 Off Home Security (One Time Credit),41178061,Active,N,Discounts,,,
9159477479113115937,$50 Off Internet (One Time Credit),40883941,Active,N,Discounts,,,
9159591399413748656,$50 Off Internet (One Time Credit),40883941,Active,N,Discounts,,,
9159832790513019843,$50 Off Internet (One Time Credit),40883941,Active,N,Discounts,,,
9162796105717685268,$50 Off Internet (One-Time Credit),40883711,Active,N,Discounts,,,
9164722552392653940,$50 Off Internet (One-Time Credit),40883941,Active,N,Discounts,,,
9163573325904744482,$50 Off Internet (One-Time Credit),41112471,Active,Y,Discounts,,,
9163642091140824412,$50 Off Internet (One-Time Credit),41112471,Active,Y,Discounts,,,
9163107787077578053,$50 Off SmartHome Security (One Time Credit),41178061,Active,N,Discounts,,,
9163988515292886697,$50 Off SmartHome Security (One Time Credit),41178061,Active,N,Discounts,,,
9164369984518181084,$50 Off SmartHome Security (One Time Credit),41178061,Active,N,Discounts,,,
9164567972042675101,$50 Off SmartHome Security (One Time Credit),41178061,Active,N,Discounts,,,
9164620325088317553,$50 Off SmartHome Security (One Time Credit),41178061,Active,N,Discounts,,,
9164721614932777710,$50 Off SmartHome Security (One Time Credit),41178061,Active,N,Discounts,,,
9164740067049234863,$50 Off SmartHome Security (One Time Credit),41178061,Active,N,Discounts,,,
9164793065004693349,$50 Off SmartHome Security (One Time Credit),41178061,Active,N,Discounts,,,
9163418785586203795,$50 Off SmartHome Security (One Time Credit),41200301,Active,N,Discounts,,,
9163418785833203798,$50 Off SmartHome Security (One Time Credit),41200301,Active,N,Discounts,,,
9163462567385807055,$50 Off SmartHome Security (One Time Credit),41200301,Active,N,Discounts,,,
9163693615428824541,$50 Off SmartHome Security (One Time Credit),41200301,Active,N,Discounts,,,
9163175368285625217,$50 Off Smarthome Security (One Time Credit),41178061,Active,N,Discounts,,,
9163228488247813432,$50 Off Smarthome Security (One Time Credit),41178061,Active,N,Discounts,,,
9163270943766059647,$50 Off Smarthome Security (One Time Credit),41178061,Active,N,Discounts,,,
9164324940784180978,$50 Off Smarthome Security (One Time Credit),41178061,Active,N,Discounts,,,
9164325826116967384,$50 Off Smarthome Security (One Time Credit),41178061,Active,N,Discounts,,,
9164360046737967443,$50 Off Smarthome Security (One Time Credit),41178061,Active,N,Discounts,,,
9163816686384015476,$50 Off on SmartHome Security (One Time Credit),41178061,Active,N,Discounts,,,
9159823307213567862,$50 off SmartHome Security - One Time Credit,41133111,Active,N,Discounts,,,
9159993754213042753,$50 off SmartHome Security - One Time Credit,41133111,Active,N,Discounts,,,
9159993789213044857,$50 off SmartHome Security - One Time Credit,41133111,Active,N,Discounts,,,
9163505371082201663,$75 Off SmartHome Security (One Time Credit),41200451,Active,N,Discounts,,,
9163583252609231206,$75 Off SmartHome Security (One Time Credit),41200451,Active,N,Discounts,,,
9163583299164231209,$75 Off SmartHome Security (One Time Credit),41200451,Active,N,Discounts,,,
9163583299246231212,$75 Off SmartHome Security (One Time Credit),41200451,Active,N,Discounts,,,
9163600763297744543,$75 Off SmartHome Security (One Time Credit),41200451,Active,N,Discounts,,,
9163600793546187559,$75 Off SmartHome Security (One Time Credit),41200451,Active,N,Discounts,,,
9163600793896187562,$75 Off SmartHome Security (One Time Credit),41200451,Active,N,Discounts,,,
9164982564268303581,Black Friday - $150 One-time Credit - SmartHome Security,41178281,Active,N,Discounts,,,
9156192893413938014,Boost Wi-Fi Starter Pack $25 One Time Purchase Credit - Assure agents only,40874981,Active,N,"Discounts,Non Self-stackable Promotions,All Other Discounts",,,
9162969962544409568,Copy of Save for 24 months promo-281 - 2022-03-08 20:07:05,40775571,Active,N,Discounts,,,
9162969962595409567,Copy of Service Agreement on High Speed-163 - 2022-03-08 20:07:05,40786771,Active,N,Discounts,,,
9163771656745970764,D2D - OB Special Offer - $50 Off SmartHome Security,41178061,Active,N,Discounts,,,
9163781665357970783,D2D - OB Special Offer - $50 Off SmartHome Security,41178061,Active,N,Discounts,,,
9164391584860492552,EOM-TEST-COUPON-20-AUG-2022-FIFA-DISCOUNT,40884101,Active,N,"Discounts,You Pick 6 Promotions",,,
9164477618598151102,EOM-TEST-COUPON-30-AUG-2022,40884101,Active,N,Discounts,,,
9164689012757653890,Essentials & One Premium & One Theme Pack with commitment - $20 Off,40775691,Active,Y,[NULL],,,
9163504726156807892,F - $200 Off Internet (One-Time Credit),40884121,Active,N,Discounts,,,
9163504775950201654,F - $200 Off Internet (One-Time Credit),40884121,Active,N,Discounts,,,
9163504887965201657,F - $200 Off Internet (One-Time Credit),40884121,Active,N,Discounts,,,
9164875464865407746,FIFA_F10_PROD_EOM_TEST,40884101,Active,N,Discounts,,,
9153532200913330825,HS - One-Time Credit $100,40884101,Active,N,Discounts,,,
9153524866313325616,HS - One-Time Credit $150,40884111,Active,N,Discounts,,,
9161212296913214987,HS - One-Time Credit $150,40884111,Active,N,Discounts,,,
9162532466750187436,HS - One-Time Credit $150,40884111,Active,N,Discounts,,,
9153525772313326376,HS - One-Time Credit $200,40884121,Active,N,Discounts,,,
9161212499413215100,HS - One-Time Credit $200,40884121,Active,N,Discounts,,,
9162537215783187443,HS - One-Time Credit $200,40884121,Active,N,Discounts,,,
9153532270213330950,HS - One-Time Credit $250,40884131,Active,N,Discounts,,,
9153524378413320974,HS - One-Time Credit $50,40883941,Active,N,Discounts,,,
9156315709513090872,HS One-Time M&H Credit $100,40888911,Active,N,Discounts,,,
9156315715713090877,HS One-Time M&H Credit $50,40888841,Active,N,Discounts,,,
9157248770313218607,HS One-Time Web Credit - $50,40885281,Active,N,Discounts,,,
9160563092413315497,Home Phone Loyalty Credit $10,440653,Active,N,Discounts,,,
9158634870713145802,Home Phone One Time Referral Credit - $100,41114241,Active,N,Discounts,,,
9155280244013041804,Home Phone One-Time M&H Credit $100,40981461,Active,N,Discounts,,,
9156290391713061578,Home Phone One-Time M&H Credit $150,41003301,Active,N,Discounts,,,
9155280244213041809,Home Phone One-Time M&H Credit $200,40981761,Active,N,Discounts,,,
9155280244413041814,Home Phone One-Time M&H Credit $300,40981771,Active,N,Discounts,,,
9164429210252923534,Internet One Time Credit $25 incl tax*,41206981,Active,N,Discounts,,,
9164437426730923555,Internet One Time Credit $50 incl tax*,41206991,Active,N,Discounts,,,
9163283967813870394,Internet migration bill adjustment,41201161,Active,N,[NULL],,,
9163929252676886613,Les Grandes Fêtes TELUS - $50 Off SmartHome Security (One Time Credit),41178061,Active,N,Discounts,,,
9163391732081709445,Limited Time Offer One-Time Credit,41178071,Active,N,Discounts,,,
9163443598757709596,Limited Time Offer One-Time Credit,41178071,Active,N,Discounts,,,
9163875886969970918,Limited Time Offer One-Time Credit,41178071,Active,N,Discounts,,,
9163953676705690029,Limited Time Offer One-Time Credit,41178071,Active,N,Discounts,,,
9164739673920693085,Limited Time Offer One-Time Credit,41178071,Active,N,Discounts,,,
9164421569528732407,Loyalty HS $10 Off Credit for 24 MO,40761451,Active,N,,40761451,Active,[NULL]
9164388130406181115,Loyalty HS $10 Off Credit for 24 MO Commitment Offer,40761451,Active,N,[NULL],,,
9164412658495317715,Loyalty HS $15 Off Credit for 24 MO Commitment Offer,40761321,Active,N,[NULL],,,
9164411344461317693,Loyalty HS $15 Off Credit for 24 MO Commitment Offer,40761451,Active,N,[NULL],,,
9164750775440693196,Loyalty HS $20 Off Credit for 24 MO,40775571,Active,N,[NULL],,,
9164420300312595485,Loyalty HS $20 Off Credit for 24 MO Commitment Offer,40775571,Active,N,[NULL],,,
9164479990385685637,Loyalty HS $20 Off Credit for 24 MO Commitment Offer,40775571,Active,N,[NULL],,,
9164724441074653954,Loyalty HS $5 Off Credit & TV for 24 MO Commitment Offer,40761321,Active,N,[NULL],,,
9164420019025595483,Loyalty HS $5 Off Credit for 24 MO,40761321,Active,N,[NULL],,,
9164480401995685640,Loyalty HS $5 Off Credit for 24 MO Commitment Offer,40761321,Active,N,[NULL],,,
9164861402627650172,Loyalty TOS Complete $5 Off Credit for 6 MO,41131961,Active,N,Discounts,,,
9164861997070650177,Loyalty TOS Standard $4 Off Credit for 6 MO,41131951,Active,N,Discounts,,,
9164862017861457497,Loyalty TOS Ultimate $10 Off Credit for 6 MO,41131971,Active,N,Discounts,,,
9164691478662619735,Loyalty TV $10 Off Credit for 24 MO,40760871,Active,Y,[NULL],,,
9164604426362174764,Loyalty TV $10 Off Credit for 24 MO Commitment Offer,40760871,Active,Y,[NULL],,,
9164750982537855176,Loyalty TV $20 Off Credit for 24 MO,40775691,Active,Y,[NULL],,,
9164650468098174932,Loyalty TV $20 Off Credit for 24 MO Promo Offer,40775691,Active,Y,[NULL],,,
9164691056576619734,Loyalty TV $5 Off Credit for 24 MO,40760821,Active,Y,[NULL],,,
9164692500847653898,Loyalty TV 5 VOD Coupons & Theme Pack,40833501,Active,Y,[NULL],,,
9164904688403650288,Loyalty wHSIA $10 Off Credit for 24 MO,41177431,Active,N,Discounts,,,
9164904642848457602,Loyalty wHSIA $5 Off Credit for 24 MO,41177421,Active,N,Discounts,,,
9164860583340650167,Loyalty wHSIA $5 Off Credit for 6 MO,41177481,Active,N,Discounts,,,
9161299928737665398,Mobile & Home Fiber Promotion - $150 Off Internet (One Time Credit),40888911,Active,N,[NULL],,,
9163330446961707838,Move Campaign - $50 Off SmartHome Security (One Time Credit),41178061,Active,N,Discounts,,,
9164797656811258485,OCT5-Rel-COmp,40884101,Active,N,Discounts,,,
9156308353513082456,Optik One-Time Mobile & Home Credit $150,41074741,Active,Y,Discounts,,,
9159061859413921939,Optik Referral One Time Credit,40641291,Active,Y,Discounts,,,
9153524728213325467,Optik TV One-Time Credit - $100,40883511,Active,Y,Discounts,,,
9153525269113326000,Optik TV One-Time Credit - $150,40883551,Active,Y,Discounts,,,
9161212543313215210,Optik TV One-Time Credit - $150,40883551,Active,Y,Discounts,,,
9162530900809703223,Optik TV One-Time Credit - $150,40883551,Active,Y,Discounts,,,
9153525538913326126,Optik TV One-Time Credit - $200,40883591,Active,Y,Discounts,,,
9156669604313700561,Optik TV One-Time Credit - $200,40883591,Active,Y,Discounts,,,
9153525616213326251,Optik TV One-Time Credit - $250,40883631,Active,Y,Discounts,,,
9153524078813320842,Optik TV One-Time Credit - $50,40883471,Active,Y,Discounts,,,
